"CITY","total_contributions","number_of_contributions"
"SELMA",1670,25
"LOMA LINDA",1640,23
"CAPISTRANO BEACH",1610,18
"HELENDALE",1600,3
"PLYMOUTH",1600,4
"MARYSVILLE",1590,20
"THE SEA RANCH",1590,16
"LAKEPORT",1580,21
"ETNA",1572,16
"NEWCASTLE",1565,24
"TWAIN HARTE",1558,29
"GALT",1547.5,25
"PALO CEDRO",1540,17
"TWENTYNINE PALMS",1535,17
"ROSSMOOR",1530,14
"BIG BEAR LAKE",1510,24
"LAWNDALE",1510,17
"TAHOE VISTA",1510,12
"HIDDEN VALLEY LAKE",1497,28
"CAMINO",1481,24
"WILTON",1475,18
"BALDWIN PARK",1450,27
"SHERWOOD FOREST",1450,20
"THREE RIVERS",1435,33
"DAVENPORT",1431,15
"MURPHYS",1430,25
"REEDLEY",1426,27
"MONTCLAIR",1405,27
"ASHLAND",1400,7
"PACHECO",1400,9
"LA PUENTE",1398,28
"PESCADERO",1361,22
"FOREST RANCH",1355,29
"ISLETON",1350,9
"PHILO",1335,24
"HANFORD",1311,38
"LATROBE",1300,4
"PICO RIVERA",1289,28
"KENWOOD",1285,14
"PHELAN",1285,12
"PATTERSON",1260,30
"LA PALMA",1253,18
"BOLINAS",1250,17
"CORONA DL MAR",1250,7
"CRESTLINE",1245,20
"SAN MARTIN",1240,21
"WILMINGTON",1230,14
"LAKE BALBOA",1214,28
"PALOS VERDES PENINSULA",1205,16
"BERMUDA DUNES",1200,22
"MAGALIA",1189,21
"FOOTHILL RANCH",1178,29
"MENTONE",1176,28
"WEED",1175,18
"RIALTO",1155,16
"SODA SPRINGS",1150,16
"VALLEY SPRINGS",1140,19
"AGUANGA",1120,27
"FOREST KNOLLS",1110,12
"CAZADERO",1105,22
"DIABLO",1090,13
"GRAND TERRACE",1090,16
"SOUTH GATE",1090,16
"ESCALON",1088,27
"CALEXICO",1085,24
"SANTA MARGARITA",1075,30
"SAN JACINTO",1068,26
"RUTHERFORD",1061,16
"ANGWIN",1060,12
"WILLOWS",1050,8
"COMPTON",1048,23
"SOMERSET",1045,17
"COPPEROPOLIS",1035,13
"PLUMAS LAKE",1033,24
"LATON",1025,11
"SAN JUAN BAUTISTA",1020,16
"STANTON",1020,23
"BALLICO",1000,1
"RIMFOREST",1000,1
"RYDE",1000,2
"BLUE LAKE",991,13
"ORLAND",988,25
"RIVERBANK",970,10
"SANGER",965,20
"AVILA BEACH",960,15
"CROCKETT",960,11
"POINT RICHMOND",960,13
"GREENVILLE",955,11
"CASTROVILLE",945,9
"PINE GROVE",940,23
"PIONEER",930,15
"GARDEN VALLEY",927.03,23
"ANGELS CAMP",925,7
"PANORAMA CITY",923,18
"SOUTH EL MONTE",910,20
"MIDDLETOWN",905,16
"NORTH SAN JUAN",896,15
"SILVERADO",896,12
"KERNVILLE",895,21
"BIG BEND",888,4
"FORESTHILL",888,12
"EASTVALE",885,20
"REDWAY",885,12
"DIAMOND SPRINGS",883,21
"COOL",880,13
"LOS OLIVOS",870,14
"GROVELAND",860,13
"SAN MIGUEL",855,55
"MISSION HILLS",850,7
"ESPARTO",825,12
"CALABASAS HILLS",821,15
"SALIDA",820,8
"CLIO",811,14
"BLUE JAY",810,9
"COTTONWOOD",810,11
"LA SELVA BEACH",810,20
"SPRINGVILLE",810,12
"DENAIR",805,13
"MARINA DL REY",800,5
"OAKVILLE",800,7
"PT RICHMOND",800,17
"LAGUNITAS",780,19
"HOMELAND",775,20
"ROYAL OAKS",775,7
"EL DORADO",770,15
"MONTROSE",770,9
"WRIGHTWOOD",768,17
"BAY POINT",765,23
"OCEANO",765,17
"PORTERVILLE",765,12
"LOWER LAKE",762,19
"PEARBLOSSOM",750,7
"RANCHO CASCADES",750,9
"CALIFORNIA CITY",749,20
"CHERRY VALLEY",745,10
"RIO LINDA",745,23
"HESPERIA",738,27
"EXETER",735,21
"MAYWOOD",735,13
"MOSS LANDING",735,8
"MOUNTAIN HOUSE",735,11
"DOVE CANYON",725,8
"LAKE ARROWHEAD",720,14
"LIVE OAK",715,11
"EAST GARRISON",705,4
"ACTON",700,7
"BELLA VISTA",700,9
"CLEARLAKE OAKS",700,17
"COALINGA",700,4
"FREEDOM",700,15
"RODEO",700,3
"SUSANVILLE",700,10
"THOUSAND PALMS",700,31
"LEWISTON",690,21
"PALA",688,14
"CERES",680,14
"FERNDALE",680,10
"LA CANADA FLT",670,7
"TERRA BELLA",670,6
"RESCUE",667,15
"SIERRA CITY",655,12
"AUBERRY",650,4
"COACHELLA",650,3
